Record ID#,Jurisdiction Name,State,Jurisdiction Type,Date,Description,Finance Mechanism,"""Other"" Comment",Purpose,Total Funds at Stake,Conservation Funds at Stake,Total Funds Approved,Conservation Funds Approved,Pass?,Status,VotesYes,VotesNo,Total Votes,% Yes,% No,Notes,Expiration?,Year of Expiration,Year of Renewal,FIPS1,FIPS,Related Code - Political DB
9361,King County,WA,County,9/20/1988,"Bond for open space, parks, trails, and recreational facilities",Bond,,"Open space, parks, trails, recreation","$85,870,000 ","$85,870,000 ",,,no,Fail,"153,961","152,167","306,128",50.29%,49.71%,60% req.,no,,,53033,53033,53033
9404,Issaquah,WA,Municipal,11/8/1988,Bond to puchase parkland,Bond,,Parks,"$600,000 ","$600,000 ","$600,000 ","$600,000 ",yes,Pass,"1,944","1,244","3,188",60.98%,39.02%,"King County, 60% req.",no,,,5333805,5333805,
7864,Fairfax County,VA,County,11/8/1988,Bond for park acquisition and facilities,Bond,,Parks,"$91,500,000 ","$45,000,000 ","$91,500,000 ","$45,000,000 ",yes,Pass,"207,315","105,059","312,374",66.37%,33.63%,,no,,,51059,51059,51059
7865,Arlington County,VA,County,11/8/1988,"Bond for the acquisition, construction, improvement and equipment of parks, recreation",Bond,,"Recreation, parks","$3,900,000 ","$1,000,000 ","$3,900,000 ","$1,000,000 ",yes,Pass,"50,367","14,344","64,711",77.83%,22.17%,,no,,,51013,51013,51013
7903,Fairfax County,VA,County,11/8/1988,Bond for parks and park facilities,Bond,,Parks,"$91,500,000 ","$45,000,000 ","$91,500,000 ","$45,000,000 ",yes,Pass,"206,858","103,071","309,929",66.74%,33.26%,,no,,,51059,51059,51059
7693,Rhode Island,RI,State,11/8/1988,Agricultural Land Preservation Fund,Bond,,Farmland,"$2,000,000 ","$2,000,000 ","$2,000,000 ","$2,000,000 ",yes,Pass,"262,953","48,941","311,894",84.31%,15.69%,,no,,,44,44,44
6806,Lower Makefield Township,PA,Municipal,11/8/1988,Bonds for land preservation,Bond,,"Recreation, open space, farmland, parks","$45,000,000 ","$45,000,000 ",,,no,Fail,"4,041","5,057","9,098",44.42%,55.58%,,no,,,4201744968,4201744968,
9853,Gresham,Ore,Municipal,11/8/1988,Bond for parkland acquisition,Bond,,Parks,"$4,500,000 ","$4,500,000 ","$4,500,000 ","$4,500,000 ",yes,Pass,"12,470","12,111","24,581",50.73%,49.27%,Multnomah County,no,,,4131250,4131250,
9385,Nassau County,NY,County,11/8/1988,Bond for land conservation,Bond,,Open space,"$3,500,000 ","$3,500,000 ","$3,500,000 ","$3,500,000 ",yes,Pass,"203,363","142,454","345,817",58.81%,41.19%,,no,,,36059,36059,36059
7891,Moapa,NV,Municipal,11/8/1988,40 years- 4% of property tax,Property tax,,"Parks, recreation","$1,600,000 ","$1,600,000 ","$1,600,000 ","$1,600,000 ",yes,Pass,121,54,175,69.14%,30.86%,Clark County,yes,2028,,3247840,3247840,
7893,New Mexico,NM,State,11/8/1988,"Bond for Natural Land Protection Fund- wildlife, endangered species and natural areas",Bond,,"Open space, wildlife habitat","$425,000 ","$425,000 ","$425,000 ","$425,000 ",yes,Pass,"217,154","132,705","349,859",62.07%,37.93%,,no,,,35,35,35
8081,East Amwell Township,NJ,Municipal,11/8/1988,Bonds for farmland preservation,Bond,,Farmland,"$2,000,000 ","$2,000,000 ",,,no,,,,,,,,no,,,3401918820,3401918820,
9453,Parsippany-Troy Hills Township,NJ,Municipal,11/8/1988,2-cents per $100 property tax increase to establish an Open Space Trust Fund,Property tax,,"Open space, recreation","$31,093,862 ","$31,093,862 ","$31,093,862 ","$31,093,862 ",yes,Pass,"10,470","5,828","16,298",64.24%,35.76%,Morris County,no,,,3402756460,3402756460,
7880,Guilford County,NC,County,11/8/1988,bond for acquisition and development of regional parks,Bond,,"Open space, parks, greenways","$12,000,000 ","$12,000,000 ","$12,000,000 ","$12,000,000 ",yes,Pass,"69,567","29,061","98,628",70.53%,29.47%,,no,,,37081,37081,37081
7899,Charlotte,NC,Municipal,11/8/1988,Bond for parks and recreation,Bond,,"Recreation, parks","$9,500,000 ","$2,000,000 ","$9,500,000 ","$2,000,000 ",yes,Pass,"73,424","40,560","113,984",64.42%,35.58%,,no,,,3712000,3712000,
7924,Shoreview,MN,Municipal,11/8/1988,Park and Recreation bonds,Bond,,"Recreation, parks","$2,975,000 ","$1,000,000 ","$2,975,000 ","$1,000,000 ",yes,Pass,"6,980","3,958","10,938",63.81%,36.19%,,no,,,2759998,2759998,
